Section,Spirithaus product,Size mL,POS description,POS size mL,Barcode,Barcode valid,SAME BOTTLE? (y/n)
needs decision,Jose Cuervo Especial Silver,700,JOSE CUERVO ESP GOLD TEQ 700ML,700,7501035042131,yes,
needs decision,Jose Cuervo Especial Silver,700,JOSE CUERVO ESP SILV TEQ 700ML,700,7501035042308,yes,
needs decision,Jose Cuervo Especial Reposado,700,JOSE CUERVO ESP GOLD TEQ 700ML,700,82000491651,NO - check digit fails,
needs decision,Jose Cuervo Especial Reposado,700,JOSE CUERVO ESP GOLD TEQ 700ML,700,7501035042131,yes,
needs decision,Jose Cuervo Especial Reposado,700,JOSE CUERVO ESP SILV TEQ 700ML,700,7501035042308,yes,
needs decision,Sierra Tequila Reposado,700,SIERRA GOLD TEQUILA 700ML,700,4062400543125,yes,
needs decision,Sierra Tequila Reposado,700,SIERRA TEQUILA 700ML,700,4062400115483,yes,
needs decision,Sierra Tequila Reposado,700,SIERRA TEQUILA BLANCO 38%700ML,700,4062400159104,yes,
needs decision,El Jimador Reposado,700,EL JIMADOR TEQUILA BLANC 700ML,700,7501145268100,yes,
needs decision,El Jimador Reposado,700,EL JIMADOR TEQUILA REPOS 700ML,700,7501145269107,yes,
needs decision,El Jimador Blanco,700,EL JIMADOR TEQUILA BLANC 700ML,700,7501145268100,yes,
needs decision,El Jimador Blanco,700,EL JIMADOR TEQUILA REPOS 700ML,700,7501145269107,yes,
needs decision,Sierra Tequila Silver,700,SIERRA GOLD TEQUILA 700ML,700,4062400543125,yes,
needs decision,Sierra Tequila Silver,700,SIERRA TEQUILA 700ML,700,4062400115483,yes,
needs decision,Sierra Tequila Silver,700,SIERRA TEQUILA BLANCO 38%700ML,700,4062400159104,yes,
needs decision,Hibiki Japanese Harmony 700Ml,700,HIBIKI WHISKY HARMONY   700ML,700,80686934035,NO - check digit fails,
needs decision,Archie Rose Distillers Strength Gin,700,ARCHIE ROSE SIG DRY GIN  700ML,700,9350657004779,yes,
needs decision,Archie Rose Signature Dry Gin,700,ARCHIE ROSE SIG DRY GIN  700ML,700,9350657004779,yes,
needs decision,Four Pillars Bloody Shiraz Gin,700,FOUR PILLARS RARE DRY GIN700ML,700,9349749000164,yes,
needs decision,Four Pillars Navy Strength Gin,700,FOUR PILLARS RARE DRY GIN700ML,700,9349749000164,yes,
needs decision,Four Pillars Olive Leaf Gin,700,FOUR PILLARS RARE DRY GIN700ML,700,9349749000164,yes,
needs decision,Gin Mare Mediterranean Gin,700,ARCHIE ROSE SIG DRY GIN  700ML,700,9350657004779,yes,
needs decision,Gin Mare Mediterranean Gin,700,BOMBAY SAPPHIRE GIN      700ML,700,5010677714006,yes,
needs decision,Gin Mare Mediterranean Gin,700,BOMBAY SAPPHIRE GIN      700ML,700,5010677710633,yes,
needs decision,Hendricks Neptunia Gin,700,HENDRICKS GIN            700ML,700,5010327755014,yes,
needs decision,Ink Gin,700,GOOD DAY PINK,,8801100130367,yes,
needs decision,Ink Gin,700,GOOD DAY PINK,,8801100132330,yes,
needs decision,Ink Gin,700,GOOD DAY PINK,,8801100129347,yes,
needs decision,Monkey 47 Schwarzwald Dry Gin,500,MONKEY SHOULDER SCOTCH   700ML,700,5010327105215,yes,
needs decision,Tanqueray London Dry Gin,700,TANQUERAY GIN            700ML,700,5000291020706,yes,
needs decision,Tanqueray London Dry Gin,700,TANQUERAY N0. TEN GIN,,88110158606,NO - check digit fails,
needs decision,Tanqueray London Dry Gin,700,TANQUERAY & TONIC        250ML,250,9310495088584,yes,
needs decision,Tanqueray No Ten Gin,700,TANQUERAY N0. TEN GIN,,88110158606,NO - check digit fails,
needs decision,Tanqueray No Ten Gin,700,TANQUERAY GIN            700ML,700,5000291020706,yes,
needs decision,Tanqueray No Ten Gin,700,TANQUERAY & TONIC        250ML,250,9310495088584,yes,
needs decision,Bundaberg Original,700,BUNDABERG SPICED RUM,,9310495076710,yes,
needs decision,Bundaberg Small Batch,700,BUNDABERG SPICED RUM,,9310495076710,yes,
already written,Four Pillars Rare Dry Gin,,FOUR PILLARS RARE DRY GIN 700ML,,9349749000164,yes,
already written,Jameson Stout Edition Irish Whiskey,,JAMESON CASKMATES STOUT 700ML,,5011007025410,yes,
already written,Jameson IPA Edition Irish Whiskey,,JAMESON CASKMATES IPA ED 700ML,,5011007025960,yes,
already written,Starward Two-Fold Double Grain Whisky,,STARWARD TWO-FOLD 700ML,,9346943000174,yes,
already written,Talisker Skye Single Malt Whisky,,TALISKER SKYE 45.8% 700ML,,5000281038094,yes,
already written,Patrón Silver Tequila,,PATRON SILVER 700ML,,721733000739,yes,
already written,Don Julio Blanco Tequila,,DON JULIO BLANCO 38% 700ML,,7506064300160,yes,
already written,Patrón Añejo Tequila,,PATRON ANEJO 700ML,,721733000715,yes,
already written,Bombay Sapphire,,BOMBAY SAPPHIRE GIN 700ML,,5010677714006,yes,
already written,Gordon's London Dry Gin,,GORDONS DRY GIN 37% 700ML,,9310495069514,yes,
already written,Hendrick's Gin,,HENDRICKS GIN 700ML,,5010327755014,yes,
already written,Roku Japanese Craft Gin,,ROKU GIN 43% 700ML,,4901777305359,yes,
