#,Priority,Category,Segment,Product,FILENAME 01 (front - required),FILENAME 02 (back label - optional),Our price,Cost ex GST,Additional Info (paste product facts here),Dan Murphy price
158,P2,Wine,,Minuty Ros̩ et Or,minuty-rose-et-or-01.jpg,minuty-rose-et-or-02.jpg,74.99,50.61,,
159,P2,Wine,,Podere Casanova DOCG Chianti Classico,podere-casanova-docg-chianti-classico-01.jpg,podere-casanova-docg-chianti-classico-02.jpg,74.99,50.85,,
160,P2,Wine,,Jf Moreau Chablis 2023,jf-moreau-chablis-2023-01.jpg,jf-moreau-chablis-2023-02.jpg,73.99,50.26,,
161,P2,Wine,,Hentley Farm Quint Shiraz,hentley-farm-quint-shiraz-01.jpg,hentley-farm-quint-shiraz-02.jpg,70.99,48.01,,
162,P2,Wine,,Peyrassol Chateau Rose,peyrassol-chateau-rose-01.jpg,peyrassol-chateau-rose-02.jpg,70.99,48.01,,
163,P2,Wine,,Cloudy Bay Chardonnay,cloudy-bay-chardonnay-01.jpg,cloudy-bay-chardonnay-02.jpg,70.99,48.09,,
164,P2,Wine,,Cape Mentelle Zinfandel Margaret River,cape-mentelle-zinfandel-margaret-river-01.jpg,cape-mentelle-zinfandel-margaret-river-02.jpg,69.99,47.06,,
165,P2,Wine,,Cape Mentelle Chardonnay Margaret River,cape-mentelle-chardonnay-margaret-river-01.jpg,cape-mentelle-chardonnay-margaret-river-02.jpg,69.99,47.06,,
166,P2,Wine,,Henschke Keyneton Estate,henschke-keyneton-estate-01.jpg,henschke-keyneton-estate-02.jpg,68.99,46.51,,
167,P2,Wine,,House of Arras Brut Elite Rose,house-of-arras-brut-elite-rose-01.jpg,house-of-arras-brut-elite-rose-02.jpg,68.99,46.83,,
168,P2,Wine,,Banfi DOCG Chianti Classico Riserva,banfi-docg-chianti-classico-riserva-01.jpg,banfi-docg-chianti-classico-riserva-02.jpg,67.99,46.12,,
169,P2,Wine,,Jf Moreau Petit Chablis 2023,jf-moreau-petit-chablis-2023-01.jpg,jf-moreau-petit-chablis-2023-02.jpg,67.99,46.12,,
170,P2,Wine,,Domaine Christian Salmon Sancerre Ac,domaine-christian-salmon-sancerre-ac-01.jpg,domaine-christian-salmon-sancerre-ac-02.jpg,67.99,46.12,,
171,P2,Wine,,Laurent Habrard Crozes Hermitage Blanc Grand Classique,laurent-habrard-crozes-hermitage-blanc-grand-classique-01.jpg,laurent-habrard-crozes-hermitage-blanc-grand-classique-02.jpg,67.99,46.12,,
172,P2,Wine,,Maison Tramier & Fils Aop Chablis 2025,maison-tramier-fils-aop-chablis-2025-01.jpg,maison-tramier-fils-aop-chablis-2025-02.jpg,66.99,45.62,,
173,P2,Wine,,Donne Fittipaldi Bolgheri Rosso,donne-fittipaldi-bolgheri-rosso-01.jpg,donne-fittipaldi-bolgheri-rosso-02.jpg,64.99,44,,
174,P2,Wine,,Greywacke Pinot Noir Marlborough New Zealand,greywacke-pinot-noir-marlborough-new-zealand-01.jpg,greywacke-pinot-noir-marlborough-new-zealand-02.jpg,64.99,43.95,,
175,P2,Wine,,Joseph Drouhin Laforet Bourgogne Pinot Noir,joseph-drouhin-laforet-bourgogne-pinot-noir-01.jpg,joseph-drouhin-laforet-bourgogne-pinot-noir-02.jpg,64.99,43.89,,
176,P2,Wine,,Chiappini DOC Bolgheri Rosso Ferruggini,chiappini-doc-bolgheri-rosso-ferruggini-01.jpg,chiappini-doc-bolgheri-rosso-ferruggini-02.jpg,64.99,43.75,,
177,P2,Wine,,Cloudy Bay Sauvignon Blanc,cloudy-bay-sauvignon-blanc-01.jpg,cloudy-bay-sauvignon-blanc-02.jpg,62.99,42.94,,
178,P2,Wine,,Jim Barry McRae Shiraz,jim-barry-mcrae-shiraz-01.jpg,jim-barry-mcrae-shiraz-02.jpg,62.99,42.37,,
179,P2,Wine,,Cape Mentelle Wallcliffe Cabernet Franc,cape-mentelle-wallcliffe-cabernet-franc-01.jpg,cape-mentelle-wallcliffe-cabernet-franc-02.jpg,62.99,42.33,,
180,P2,Wine,,Villebois Sancerre Rouge,villebois-sancerre-rouge-01.jpg,villebois-sancerre-rouge-02.jpg,62.99,42.33,,
181,P2,Wine,,Roland Tissier Sancerre,roland-tissier-sancerre-01.jpg,roland-tissier-sancerre-02.jpg,62.99,42.57,,
182,P2,Wine,,Cape Mentelle Wallcliffe Sauvignon Blanc,cape-mentelle-wallcliffe-sauvignon-blanc-01.jpg,cape-mentelle-wallcliffe-sauvignon-blanc-02.jpg,62.99,42.33,,
183,P2,Wine,,Laroche Petit Chablis 2023,laroche-petit-chablis-2023-01.jpg,laroche-petit-chablis-2023-02.jpg,61.99,41.95,,
184,P2,Wine,,La Chablisienne Lapierele Chablis,la-chablisienne-lapierele-chablis-01.jpg,la-chablisienne-lapierele-chablis-02.jpg,61.99,41.86,,
185,P2,Wine,,Greywacke Chardonnay - Marlborough New Zealand,greywacke-chardonnay-marlborough-new-zealand-01.jpg,greywacke-chardonnay-marlborough-new-zealand-02.jpg,61.99,41.74,,
186,P2,Wine,,Shaw + Smith M3 Chardonnay,shaw-smith-m3-chardonnay-01.jpg,shaw-smith-m3-chardonnay-02.jpg,60.99,41.57,,
187,P2,Wine,,Torbreck Struie,torbreck-struie-01.jpg,torbreck-struie-02.jpg,60.99,41.03,,
188,P2,Wine,,Kilikanoon Mort's Reserve Riesling 2024,kilikanoon-mort-s-reserve-riesling-2024-01.jpg,kilikanoon-mort-s-reserve-riesling-2024-02.jpg,60.99,41.39,,
189,P2,Wine,,Vasse Felix Cabernet Sauvignon,vasse-felix-cabernet-sauvignon-01.jpg,vasse-felix-cabernet-sauvignon-02.jpg,57.99,39.07,,
190,P2,Wine,,Greywacke Wild Sauvignon,greywacke-wild-sauvignon-01.jpg,greywacke-wild-sauvignon-02.jpg,56.99,38.5,,
191,P2,Wine,,Joseph Drouhin Laforet Bourgogne Chardonnay,joseph-drouhin-laforet-bourgogne-chardonnay-01.jpg,joseph-drouhin-laforet-bourgogne-chardonnay-02.jpg,56.99,38.39,,
192,P2,Wine,,Joseph Drouhin Chablis,joseph-drouhin-chablis-01.jpg,joseph-drouhin-chablis-02.jpg,56.99,38.39,,
193,P2,Wine,,Banfi DOCG Chianti Classico,banfi-docg-chianti-classico-01.jpg,banfi-docg-chianti-classico-02.jpg,53.99,36.66,,
194,P2,Wine,,Joseph Drouhin Morgon,joseph-drouhin-morgon-01.jpg,joseph-drouhin-morgon-02.jpg,53.99,36.3,,
195,P2,Wine,,Penfolds Bin 28 Shiraz,penfolds-bin-28-shiraz-01.jpg,penfolds-bin-28-shiraz-02.jpg,52.99,36.1,,
196,P2,Wine,,Poggio dei Salici Chianti Classico DOCG,poggio-dei-salici-chianti-classico-docg-01.jpg,poggio-dei-salici-chianti-classico-docg-02.jpg,52.99,35.48,,
197,P2,Wine,,Kilikanoon Covenant Shiraz,kilikanoon-covenant-shiraz-01.jpg,kilikanoon-covenant-shiraz-02.jpg,52.99,35.48,,
198,P2,Wine,,Poggio Al Tesoro Solosole Vermentino Bolgheri DOC - Tuscany Italy,poggio-al-tesoro-solosole-vermentino-bolgheri-doc-tuscany-italy-01.jpg,poggio-al-tesoro-solosole-vermentino-bolgheri-doc-tuscany-italy-02.jpg,52.99,35.48,,
199,P2,Wine,,Katnook Estate Merlot,katnook-estate-merlot-01.jpg,katnook-estate-merlot-02.jpg,51.99,34.91,,
200,P2,Wine,,Shaw + Smith Sauvignon Blanc,shaw-smith-sauvignon-blanc-01.jpg,shaw-smith-sauvignon-blanc-02.jpg,29.99,25.27,,
201,P2,Wine,,Turkey Flat Ros̩,turkey-flat-rose-01.jpg,turkey-flat-rose-02.jpg,26.99,23.07,,
202,P2,Wine,,Chrismont La Zona Pinot Grigio,chrismont-la-zona-pinot-grigio-01.jpg,chrismont-la-zona-pinot-grigio-02.jpg,20.99,17.74,,
203,P2,Wine,,Dal Zotto Pucino Prosecco,dal-zotto-pucino-prosecco-01.jpg,dal-zotto-pucino-prosecco-02.jpg,19.99,16.6,,
