#,Priority,Category,Segment,Product,FILENAME 01 (front - required),FILENAME 02 (back label - optional),Our price,Cost ex GST,Additional Info (paste product facts here),Dan Murphy price
57,P2,Wine,,ChÃ¢teau d'Esclans Garrus,chateau-d-esclans-garrus-01.jpg,chateau-d-esclans-garrus-02.jpg,337.99,230.2,,
58,P2,Wine,,Lacourte-Godbillon Mont Ames-Migreats Premier Cru (Pinot Noir) - Champagne France,lacourte-godbillon-mont-ames-migreats-premier-cru-pinot-noir-champagne-france-01.jpg,lacourte-godbillon-mont-ames-migreats-premier-cru-pinot-noir-champagne-france-02.jpg,311.99,212.3,,
59,P2,Wine,,Kilikanoon Attunga 1865 Shiraz 2016,kilikanoon-attunga-1865-shiraz-2016-01.jpg,kilikanoon-attunga-1865-shiraz-2016-02.jpg,303.99,206.94,,
60,P2,Wine,,Hentley Farm Clos Otto Shiraz,hentley-farm-clos-otto-shiraz-01.jpg,hentley-farm-clos-otto-shiraz-02.jpg,301.99,205.75,,
61,P2,Wine,,Maison Tramier & Fils Corton Grand Cru Pinot Noir 2016,maison-tramier-fils-corton-grand-cru-pinot-noir-2016-01.jpg,maison-tramier-fils-corton-grand-cru-pinot-noir-2016-02.jpg,276.99,188.55,,
62,P2,Wine,,House of Arras EJ Carr Late Disgorged,house-of-arras-ej-carr-late-disgorged-01.jpg,house-of-arras-ej-carr-late-disgorged-02.jpg,272.99,185.89,,
63,P2,Wine,,Ruinart Rose Second Skin,ruinart-rose-second-skin-01.jpg,ruinart-rose-second-skin-02.jpg,267.99,182.35,,
64,P2,Wine,,Bollinger Pinot Noir Tx20 Blanc de Noirs Champagne,bollinger-pinot-noir-tx20-blanc-de-noirs-champagne-01.jpg,bollinger-pinot-noir-tx20-blanc-de-noirs-champagne-02.jpg,258.99,176.19,,
65,P2,Wine,,Ruinart Blanc de Blanc SS,ruinart-blanc-de-blanc-ss-01.jpg,ruinart-blanc-de-blanc-ss-02.jpg,256.99,174.82,,
66,P2,Wine,,San Polo Brunello di Montalcino Riserva DOCG 2012 Sangiovese Tuscany Italy,san-polo-brunello-di-montalcino-riserva-docg-2012-sangiovese-tuscany-italy-01.jpg,san-polo-brunello-di-montalcino-riserva-docg-2012-sangiovese-tuscany-italy-02.jpg,256.99,174.9,,
67,P2,Wine,,Maison Tramier & Fils Vosne-Romanee Pinot Noir 2020,maison-tramier-fils-vosne-romanee-pinot-noir-2020-01.jpg,maison-tramier-fils-vosne-romanee-pinot-noir-2020-02.jpg,253.99,172.67,,
68,P2,Wine,,Grant Burge Meshach Shiraz V19,grant-burge-meshach-shiraz-v19-01.jpg,grant-burge-meshach-shiraz-v19-02.jpg,251.99,171.36,,
69,P2,Wine,,Wendouree Cabernet Sauvignon,wendouree-cabernet-sauvignon-01.jpg,wendouree-cabernet-sauvignon-02.jpg,250.99,,,
70,P2,Wine,,Billecart-Salmon Brut RosÃ©,billecart-salmon-brut-rose-01.jpg,billecart-salmon-brut-rose-02.jpg,238.99,162.79,,
71,P2,Wine,,Billecart Salmon Brut Sous Bois,billecart-salmon-brut-sous-bois-01.jpg,billecart-salmon-brut-sous-bois-02.jpg,238.99,162.79,,
72,P2,Wine,,Veuve Clicquot Rose Reserve,veuve-clicquot-rose-reserve-01.jpg,veuve-clicquot-rose-reserve-02.jpg,215.99,147.04,,
73,P2,Wine,,Tenuta Meraviglia Rosso Bolgheri Superiore 2018,tenuta-meraviglia-rosso-bolgheri-superiore-2018-01.jpg,tenuta-meraviglia-rosso-bolgheri-superiore-2018-02.jpg,210.99,143.79,,
74,P2,Wine,,Bollinger Rose NV,bollinger-rose-nv-01.jpg,bollinger-rose-nv-02.jpg,197.99,134.81,,
75,P2,Wine,,Dow's 30 Year Old Tawny Port,dow-s-30-year-old-tawny-port-01.jpg,dow-s-30-year-old-tawny-port-02.jpg,196.99,133.97,,
76,P2,Wine,,Marziano Abbona DOCG Barolo,marziano-abbona-docg-barolo-01.jpg,marziano-abbona-docg-barolo-02.jpg,191.99,130.9,,
77,P2,Wine,,Fontanafredda Vigna la Rosa Barolo DOCG Italy,fontanafredda-vigna-la-rosa-barolo-docg-italy-01.jpg,fontanafredda-vigna-la-rosa-barolo-docg-italy-02.jpg,191.99,130.28,,
78,P2,Wine,,Champagne Deutz Brut Rose NV,champagne-deutz-brut-rose-nv-01.jpg,champagne-deutz-brut-rose-nv-02.jpg,185.99,126.81,,
79,P2,Wine,,Wynns Riddoch Cabernet Sauvignon,wynns-riddoch-cabernet-sauvignon-01.jpg,wynns-riddoch-cabernet-sauvignon-02.jpg,184.99,125.89,,
80,P2,Wine,,R de Ruinart Brut,r-de-ruinart-brut-01.jpg,r-de-ruinart-brut-02.jpg,183.99,125.44,,
81,P2,Wine,,Collet Vintage 2014,collet-vintage-2014-01.jpg,collet-vintage-2014-02.jpg,180.99,122.98,,
82,P2,Wine,,Donne Fittipaldi Malaroja Malbec Super Tuscan,donne-fittipaldi-malaroja-malbec-super-tuscan-01.jpg,donne-fittipaldi-malaroja-malbec-super-tuscan-02.jpg,175.99,119.9,,
83,P2,Wine,,MoÃ«t & Chandon Vintage,moet-chandon-vintage-01.jpg,moet-chandon-vintage-02.jpg,172.99,117.57,,
84,P2,Wine,,Fontanafredda Barolo Proprieta DOCG Italy,fontanafredda-barolo-proprieta-docg-italy-01.jpg,fontanafredda-barolo-proprieta-docg-italy-02.jpg,169.99,115.8,,
