Range? (y/n),Segment,Rank TY,Rank LY,Segment % share,ALM description,ALM item code,Barcode (GTIN),Supplier,Stock type,Carton size,Unit cost ex GST,Already stocked (barcode match)
,TEQUILA,13,205,1.68%,PATRON SILVER          N700ML,369394,0721733000739,,core-extract,6.0,76.96,
,TEQUILA,14,12,1.63%,JOSE CUERVO ESP REPOSADO TEQ1L,586064,0082000491675,,core-extract,6.0,71.89,
,TEQUILA,15,23,1.57%,TEREMANA TEQUILABLANCO40%700ML,576789,7503028799114,,core-extract,6.0,67.50,
,TEQUILA,16,16,1.54%,ESPOLON TEQ REPOSADO     700ML,574525,0664804000941,,core-extract,6.0,60.55,YES
,TEQUILA,17,13,1.51%,SIERRA TEQUILA REPOS 38% 700ML,369433,4062400159203,,core-extract,6.0,47.32,YES
,TEQUILA,18,14,1.25%,HERRADURA TEQUILA PLATA  700ML,506302,7501145233375,,core-extract,6.0,85.45,
,TEQUILA,19,20,1.19%,1800 SILVER TEQUILA      700ML,541268,7501035013117,,core-extract,6.0,68.33,YES
,TEQUILA,20,71,0.96%,CASA BLANCO AGAVE 700ML,653879,9356572000698,,core-extract,6.0,39.98,
,TEQUILA,21,7,0.94%,PATRON SILVER            700ML,387952,,,,,,
,TEQUILA,22,19,0.93%,OLMECA ALTOS REPOSADO    700ML,97594,7501003698643,,core-extract,6.0,60.11,
,TEQUILA,23,47,0.86%,OLMECA ALTOS PLATA 38%      1L,288962,,,,,,
,TEQUILA,24,17,0.86%,MANGO SHOTTA TEQ          50ML,502078,1210000103444,,core-extract,10.0,3.96,
,TEQUILA,25,18,0.83%,JOSE CUERVO ESP SILV TEQ    1L,515432,7501035042315,,core-extract,6.0,71.89,
,VODKA,1,1,14.11%,SMIRNOFF VODKA RED 37%      1L,19559,9310495084081,,core-extract,6.0,60.30,
,VODKA,2,2,8.31%,ABSOLUT VODKA            700ML,566323,7312040017683,,core-extract,6.0,46.63,YES
,VODKA,3,4,6.83%,SMIRNOFF VODKA RED 37%   700ML,19486,9310495084067,,core-extract,12.0,43.19,
,VODKA,4,3,6.65%,SMIRNOFF VODKA RED 37%  1125ML,19664,9310495084043,,core-extract,12.0,68.07,
,VODKA,5,7,4.74%,ABSOLUT VODKA               1L,565474,7312040017034,,core-extract,6.0,62.35,YES
,VODKA,6,8,3.81%,SKYY VODKA 37.5%         700ML,570157,8000040007122,,core-extract,6.0,41.43,
,VODKA,7,6,3.59%,SKYY VODKA 37.5%            1L,570149,8000040007146,,core-extract,6.0,56.48,
,VODKA,8,275,3.09%,GREY GOOSE VODKA       N 700ML,367978,5010677850100,,core-extract,6.0,66.88,YES
,VODKA,9,98,2.71%,ABSOLUT VODKA N          200ML,231229,05322060,,core-extract,6.0,16.99,
