#,Priority,Category,Segment,ALM rank,Product,FILENAME 01 (front - required),FILENAME 02 (back label - optional),Our price,Cost ex GST,ALM item code,Why this priority,Additional Info (paste product facts here),Dan Murphy price
329,P4,Spirits,WHISKEY,12,Toki Japanese Whisky 700mL,toki-japanese-whisky-700ml-01.jpg,toki-japanese-whisky-700ml-02.jpg,91.99,62.13,607690,ALM top-12 in its segment,,
206,P3,Spirits,RUM GOLD,4,Sailor Jerry Spicd Rum 1L,sailor-jerry-spicd-rum-1l-01.jpg,sailor-jerry-spicd-rum-1l-02.jpg,90.99,61.49,551166,ALM top-8 in its segment,,
253,P3,Spirits,BOURBON,7,Jack Daniel's Gentleman Jack 700mL,jack-daniel-s-gentleman-jack-700ml-01.jpg,jack-daniel-s-gentleman-jack-700ml-02.jpg,90.99,61.51,548121,ALM top-8 in its segment,,
330,P4,Spirits,RUM GOLD,12,Rusty Barrel Gold Rum 700mL,rusty-barrel-gold-rum-700ml-01.jpg,rusty-barrel-gold-rum-700ml-02.jpg,90.99,61.49,825293,ALM top-12 in its segment,,
348,P4,Spirits,BOURBON,13,Wild Turkey 101 Proof 700mL,wild-turkey-101-proof-700ml-01.jpg,wild-turkey-101-proof-700ml-02.jpg,90.99,61.44,782199,ALM top-12 in its segment,,
363,P4,Spirits,SCOTCH,14,Glenlivet Founder Reserve 700mL,glenlivet-founder-reserve-700ml-01.jpg,glenlivet-founder-reserve-700ml-02.jpg,89.99,61.23,353071,ALM top-12 in its segment,,
381,P4,Spirits,WHISKEY,17,Fireball Cinnamon Whisky 1L,fireball-cinnamon-whisky-1l-01.jpg,fireball-cinnamon-whisky-1l-02.jpg,89.99,61.19,663413,ALM top-12 in its segment,,
207,P3,Wine,SPARKLING CHAMPAGNE,4,Piper-Heidsiek NV Brut 750mL,piper-heidsiek-nv-brut-750ml-01.jpg,piper-heidsiek-nv-brut-750ml-02.jpg,87.99,59.73,988347,ALM top-8 in its segment,,
208,P3,Spirits,SCOTCH,4,Grants Scotch 1L,grants-scotch-1l-01.jpg,grants-scotch-1l-02.jpg,86.99,59.29,774578,ALM top-8 in its segment,,
209,P3,Spirits,WHISKEY,4,Canadian Club Original 37% 1L,canadian-club-original-37-1l-01.jpg,canadian-club-original-37-1l-02.jpg,86.99,59.01,760472,ALM top-8 in its segment,,
385,P4,Spirits,WHISKEY,18,Southern Comfort 30% 1L,southern-comfort-30-1l-01.jpg,southern-comfort-30-1l-02.jpg,86.99,59.3,652616,ALM top-12 in its segment,,
210,P3,Rtds,RTD'S,4,Jack Daniel's Double Jk&Cla 10P 375mL,jack-daniel-s-double-jk-cla-10p-375ml-01.jpg,jack-daniel-s-double-jk-cla-10p-375ml-02.jpg,84.99,57.45,432121,ALM top-8 in its segment,,
254,P3,Spirits,VODKA,7,Skyy Vodka 37.5% 1L,skyy-vodka-37-5-1l-01.jpg,skyy-vodka-37-5-1l-02.jpg,82.99,56.48,570149,ALM top-8 in its segment,,
371,P4,Spirits,SCOTCH,15,Singleton Malt Master 700mL,singleton-malt-master-700ml-01.jpg,singleton-malt-master-700ml-02.jpg,82.99,56.52,813966,ALM top-12 in its segment,,
382,P4,Spirits,GIN,17,Malfy Gin Rosa 700mL,malfy-gin-rosa-700ml-01.jpg,malfy-gin-rosa-700ml-02.jpg,81.99,55.57,930124,ALM top-12 in its segment,,
349,P4,Spirits,RUM GOLD,13,Havana Club A̱ejo Es37.5% 700mL,havana-club-anejo-es37-5-700ml-01.jpg,havana-club-anejo-es37-5-700ml-02.jpg,79.99,53.92,144561,ALM top-12 in its segment,,
391,P4,Spirits,VODKA,21,Vodka O 37.5% 1L,vodka-o-37-5-1l-01.jpg,vodka-o-37-5-1l-02.jpg,79.99,54.02,586190,ALM top-12 in its segment,,
255,P3,Spirits,GIN,7,Bombay Sapphire Gin 700mL,bombay-sapphire-gin-700ml-01.jpg,bombay-sapphire-gin-700ml-02.jpg,78.99,53.72,368225,ALM top-8 in its segment,,
313,P4,Spirits,RUM DARK,11,Bundaberg Rum Xf Bourbonbarl 700mL,bundaberg-rum-xf-bourbonbarl-700ml-01.jpg,bundaberg-rum-xf-bourbonbarl-700ml-02.jpg,75.99,51.74,214722,ALM top-12 in its segment,,
331,P4,Spirits,RUM DARK,12,Bundaberg Select Vat 700mL,bundaberg-select-vat-700ml-01.jpg,bundaberg-select-vat-700ml-02.jpg,75.99,51.74,558561,ALM top-12 in its segment,,
314,P4,Spirits,RUM GOLD,11,Beenleigh Spiced Rum 700mL,beenleigh-spiced-rum-700ml-01.jpg,beenleigh-spiced-rum-700ml-02.jpg,74.99,50.51,904584,ALM top-12 in its segment,,
269,P3,Spirits,BOURBON,8,Wild Turkey 81PROOF 40.5% 700mL,wild-turkey-81proof-40-5-700ml-01.jpg,wild-turkey-81proof-40-5-700ml-02.jpg,73.99,49.89,659728,ALM top-8 in its segment,,
332,P4,Spirits,OTHER SPIRITS,12,Akropolis Ouzo 6 pack 700mL,akropolis-ouzo-6-pack-700ml-01.jpg,akropolis-ouzo-6-pack-700ml-02.jpg,72.99,49.29,593626,ALM top-12 in its segment,,
392,P4,Spirits,WHISKEY,21,Tullamore Dew Irish Whisky 700mL,tullamore-dew-irish-whisky-700ml-01.jpg,tullamore-dew-irish-whisky-700ml-02.jpg,71.99,48.5,754840,ALM top-12 in its segment,,
221,P3,Spirits,GIN,5,Gordons Pink 37% 700mL,gordons-pink-37-700ml-01.jpg,gordons-pink-37-700ml-02.jpg,70.99,48.12,526454,ALM top-8 in its segment,,
282,P4,Spirits,RUM GOLD,9,Bati Spiced Rum 2YO 37.5 700mL,bati-spiced-rum-2yo-37-5-700ml-01.jpg,bati-spiced-rum-2yo-37-5-700ml-02.jpg,70.99,48.03,846299,ALM top-12 in its segment,,
236,P3,Spirits,RUM DARK,6,Bundaberg Bourb Campfire Rum 700mL,bundaberg-bourb-campfire-rum-700ml-01.jpg,bundaberg-bourb-campfire-rum-700ml-02.jpg,69.99,47.65,392800,ALM top-8 in its segment,,
222,P3,Spirits,RUM WHITE,5,Bundaberg Silver Rum 37% 700mL,bundaberg-silver-rum-37-700ml-01.jpg,bundaberg-silver-rum-37-700ml-02.jpg,67.99,46.16,260210,ALM top-8 in its segment,,
256,P3,Spirits,RUM WHITE,7,Havana Club Anos3Yo 37.5% 700mL,havana-club-anos3yo-37-5-700ml-01.jpg,havana-club-anos3yo-37-5-700ml-02.jpg,67.99,45.97,234905,ALM top-8 in its segment,,
350,P4,Spirits,RUM WHITE,13,Malibu Coconut Rum 1L,malibu-coconut-rum-1l-01.jpg,malibu-coconut-rum-1l-02.jpg,67.99,45.72,501205,ALM top-12 in its segment,,
237,P3,Spirits,WHISKEY,6,Fireball Cinnamon Whisky 700mL,fireball-cinnamon-whisky-700ml-01.jpg,fireball-cinnamon-whisky-700ml-02.jpg,66.99,45.37,555157,ALM top-8 in its segment,,
377,P4,Spirits,GIN,16,Beefeater Gin 700mL,beefeater-gin-700ml-01.jpg,beefeater-gin-700ml-02.jpg,66.99,45.27,577992,ALM top-12 in its segment,,
270,P3,Spirits,RUM WHITE,8,Beenleigh Rum White 37.5% 700mL,beenleigh-rum-white-37-5-700ml-01.jpg,beenleigh-rum-white-37-5-700ml-02.jpg,65.99,44.53,578155,ALM top-8 in its segment,,
333,P4,Spirits,RUM WHITE,12,Bacardi Coconut 27% 700mL,bacardi-coconut-27-700ml-01.jpg,bacardi-coconut-27-700ml-02.jpg,65.99,44.77,367520,ALM top-12 in its segment,,
334,P4,Spirits,SCOTCH,12,Ballantines Scotch 700mL,ballantines-scotch-700ml-01.jpg,ballantines-scotch-700ml-02.jpg,65.99,44.45,555940,ALM top-12 in its segment,,
387,P4,Spirits,WHISKEY,19,Bond Seven Whisky 700mL,bond-seven-whisky-700ml-01.jpg,bond-seven-whisky-700ml-02.jpg,65.99,44.57,557780,ALM top-12 in its segment,,
238,P3,Spirits,OTHER SPIRITS,6,St Remy Brandy VSOP 37% 700mL,st-remy-brandy-vsop-37-700ml-01.jpg,st-remy-brandy-vsop-37-700ml-02.jpg,64.99,44.12,832855,ALM top-8 in its segment,,
283,P4,Spirits,RUM DARK,9,Bundaberg Rum Red 700mL,bundaberg-rum-red-700ml-01.jpg,bundaberg-rum-red-700ml-02.jpg,64.99,43.94,659744,ALM top-12 in its segment,,
351,P4,Spirits,GIN,13,Begin Gin 700mL,begin-gin-700ml-01.jpg,begin-gin-700ml-02.jpg,64.99,43.83,527015,ALM top-12 in its segment,,
211,P3,Spirits,BOURBON,4,Jim Beam White Label 37% 700mL,jim-beam-white-label-37-700ml-01.jpg,jim-beam-white-label-37-700ml-02.jpg,63.99,43.62,718446,ALM top-8 in its segment,,
223,P3,Spirits,SCOTCH,5,Grants Scotch 700mL,grants-scotch-700ml-01.jpg,grants-scotch-700ml-02.jpg,63.99,43.53,566886,ALM top-8 in its segment,,
271,P3,Spirits,WHISKEY,8,Canadian Club Original 37% 700mL,canadian-club-original-37-700ml-01.jpg,canadian-club-original-37-700ml-02.jpg,63.99,43.61,560929,ALM top-8 in its segment,,
315,P4,Spirits,OTHER SPIRITS,11,De Kuyper Schnap B/Scotch 700mL,de-kuyper-schnap-b-scotch-700ml-01.jpg,de-kuyper-schnap-b-scotch-700ml-02.jpg,63.99,43.49,785985,ALM top-12 in its segment,,
257,P3,Spirits,OTHER SPIRITS,7,Ouzo 12 Nupk 700mL,ouzo-12-nupk-700ml-01.jpg,ouzo-12-nupk-700ml-02.jpg,62.99,42.44,543516,ALM top-8 in its segment,,
299,P4,Spirits,RUM DARK,10,Bundaberg Drop Bear Sp P/App 700mL,bundaberg-drop-bear-sp-p-app-700ml-01.jpg,bundaberg-drop-bear-sp-p-app-700ml-02.jpg,62.99,42.64,405491,ALM top-12 in its segment,,
239,P3,Spirits,VODKA,6,Skyy Vodka 37.5% 700mL,skyy-vodka-37-5-700ml-01.jpg,skyy-vodka-37-5-700ml-02.jpg,60.99,41.43,570157,ALM top-8 in its segment,,
284,P4,Spirits,SCOTCH,9,Black Douglas Scotch 700mL,black-douglas-scotch-700ml-01.jpg,black-douglas-scotch-700ml-02.jpg,60.99,41.42,555584,ALM top-12 in its segment,,
316,P4,Spirits,WHISKEY,11,Southern Comfort 30% 700mL,southern-comfort-30-700ml-01.jpg,southern-comfort-30-700ml-02.jpg,60.99,41.23,653078,ALM top-12 in its segment,,
378,P4,Spirits,BOURBON,16,Cougar Bourbon 700mL,cougar-bourbon-700ml-01.jpg,cougar-bourbon-700ml-02.jpg,60.99,41.23,585953,ALM top-12 in its segment,,
258,P3,Rtds,RTD'S,7,Hard Rated Lem 4.5% 10 pack 375mL,hard-rated-lem-4-5-10-pack-375ml-01.jpg,hard-rated-lem-4-5-10-pack-375ml-02.jpg,59.99,40.33,569494,ALM top-8 in its segment,,
272,P3,Rtds,RTD'S,8,Hard Rated Original 4.5% 10 pack 375mL,hard-rated-original-4-5-10-pack-375ml-01.jpg,hard-rated-original-4-5-10-pack-375ml-02.jpg,59.99,40.33,245668,ALM top-8 in its segment,,
300,P4,Spirits,RUM WHITE,10,Casa Spirits White Rum 700mL,casa-spirits-white-rum-700ml-01.jpg,casa-spirits-white-rum-700ml-02.jpg,58.99,39.98,653895,ALM top-12 in its segment,,
389,P4,Spirits,TEQUILA,20,Casa Blanco Agave 700mL,casa-blanco-agave-700ml-01.jpg,casa-blanco-agave-700ml-02.jpg,58.99,39.98,653879,ALM top-12 in its segment,,
224,P3,Rtds,RTD'S,5,Jim Beam and Cola Can 10 pack 375mL,jim-beam-and-cola-can-10-pack-375ml-01.jpg,jim-beam-and-cola-can-10-pack-375ml-02.jpg,57.99,39.12,425145,ALM top-8 in its segment,,
301,P4,Spirits,GIN,10,Vickers Gin 700mL,vickers-gin-700ml-01.jpg,vickers-gin-700ml-02.jpg,57.99,39.22,503537,ALM top-12 in its segment,,
335,P4,Rtds,RTD'S,12,Suntory -196 Lemon 10 pack 330mL,suntory-196-lemon-10-pack-330ml-01.jpg,suntory-196-lemon-10-pack-330ml-02.jpg,57.99,39.04,283386,ALM top-12 in its segment,,
390,P4,Spirits,VODKA,20,Fris Vodka 700mL,fris-vodka-700ml-01.jpg,fris-vodka-700ml-02.jpg,56.99,38.64,54910,ALM top-12 in its segment,,
225,P3,Spirits,OTHER SPIRITS,5,Black Brandy 700mL,black-brandy-700ml-01.jpg,black-brandy-700ml-02.jpg,55.99,37.72,575306,ALM top-8 in its segment,,
212,P3,Spirits,OTHER SPIRITS,4,St Agnes VS Brandy 700mL,st-agnes-vs-brandy-700ml-01.jpg,st-agnes-vs-brandy-700ml-02.jpg,54.99,37.01,575128,ALM top-8 in its segment,,
317,P4,Rtds,RTD'S,11,Woodstock&Cola 4.8% 10 pack 375mL,woodstock-cola-4-8-10-pack-375ml-01.jpg,woodstock-cola-4-8-10-pack-375ml-02.jpg,52.99,35.59,554567,ALM top-12 in its segment,,
240,P3,Spirits,RUM WHITE,6,Malibu Coconut Rum 700mL,malibu-coconut-rum-700ml-01.jpg,malibu-coconut-rum-700ml-02.jpg,49.99,33.59,501239,ALM top-8 in its segment,,
394,P4,Spirits,VODKA,22,Pink Dot Vodka 700mL,pink-dot-vodka-700ml-01.jpg,pink-dot-vodka-700ml-02.jpg,44.99,30.08,144341,ALM top-12 in its segment,,
226,P3,Wine,SPARKLING ROSE,5,Jansz Non Vintage Ros̩ 750mL,jansz-non-vintage-rose-750ml-01.jpg,jansz-non-vintage-rose-750ml-02.jpg,34.99,23.4,834124,ALM top-8 in its segment,,
273,P3,Wine,WINE SPARKLING WHITE,8,Jansz Non Vintage 750mL,jansz-non-vintage-750ml-01.jpg,jansz-non-vintage-750ml-02.jpg,34.99,23.4,781363,ALM top-8 in its segment,,
372,P4,Wine,SPARKLING RED,15,Blue Pyrenees Sparkling Shiraz NV 750mL,blue-pyrenees-sparkling-shiraz-nv-750ml-01.jpg,blue-pyrenees-sparkling-shiraz-nv-750ml-02.jpg,34.99,23.65,56365,ALM top-12 in its segment,,
318,P4,Wine,SPARKLING RED,11,Seppelt Sparkling Shiraz 750mL,seppelt-sparkling-shiraz-750ml-01.jpg,seppelt-sparkling-shiraz-750ml-02.jpg,29.99,19.88,536378,ALM top-12 in its segment,,
285,P4,Wine,SPARKLING ROSE,9,La Vieille Ferme Sparkling Ros̩ 750mL,la-vieille-ferme-sparkling-rose-750ml-01.jpg,la-vieille-ferme-sparkling-rose-750ml-02.jpg,28.99,19.17,286423,ALM top-12 in its segment,,
364,P4,Wine,WINE SPARKLING WHITE,14,Croser Non Vintage 750mL,croser-non-vintage-750ml-01.jpg,croser-non-vintage-750ml-02.jpg,28.99,19.31,515018,ALM top-12 in its segment,,
259,P3,Wine,SPARKLING RED,7,Bleasdale Sparkling Shiraz 750mL,bleasdale-sparkling-shiraz-750ml-01.jpg,bleasdale-sparkling-shiraz-750ml-02.jpg,26.99,18.06,752102,ALM top-8 in its segment,,
241,P3,Wine,SPARKLING RED,6,Grant Burge Sparkling NV Shiraz 750mL,grant-burge-sparkling-nv-shiraz-750ml-01.jpg,grant-burge-sparkling-nv-shiraz-750ml-02.jpg,24.99,16.42,666898,ALM top-8 in its segment,,
242,P3,Wine,SPARKLING ROSE,6,Grant Burge NV Pnc Ros̩ 750mL,grant-burge-nv-pnc-rose-750ml-01.jpg,grant-burge-nv-pnc-rose-750ml-02.jpg,24.99,16.42,287848,ALM top-8 in its segment,,
286,P4,Wine,STILL RED,9,Pepperjack Barossa Cabernet Sauvignon 750mL,pepperjack-barossa-cabernet-sauvignon-750ml-01.jpg,pepperjack-barossa-cabernet-sauvignon-750ml-02.jpg,24.99,16.76,794219,ALM top-12 in its segment,,
287,P4,Wine,STILL ROSE,9,Pepperjack Ros̩ 750mL,pepperjack-rose-750ml-01.jpg,pepperjack-rose-750ml-02.jpg,24.99,16.76,318911,ALM top-12 in its segment,,
302,P4,Wine,SPARKLING ROSE,10,Oyster Bay Cuv̩e Ros̩ Sparkling 750mL,oyster-bay-cuvee-rose-sparkling-750ml-01.jpg,oyster-bay-cuvee-rose-sparkling-750ml-02.jpg,24.99,17.02,512507,ALM top-12 in its segment,,
303,P4,Wine,WINE SPARKLING WHITE,10,Grant Burge Pinot Chardonnay NV 750mL,grant-burge-pinot-chardonnay-nv-750ml-01.jpg,grant-burge-pinot-chardonnay-nv-750ml-02.jpg,24.99,16.42,535194,ALM top-12 in its segment,,
304,P4,Wine,WINE OTHER,10,Zonzo NV Limoncello Sprtz 750mL,zonzo-nv-limoncello-sprtz-750ml-01.jpg,zonzo-nv-limoncello-sprtz-750ml-02.jpg,23.99,15.75,619286,ALM top-12 in its segment,,
274,P3,Wine,STILL ROSE,8,Oyster Bay Ros̩ 750mL,oyster-bay-rose-750ml-01.jpg,oyster-bay-rose-750ml-02.jpg,22.99,15.42,650567,ALM top-8 in its segment,,
213,P3,Wine,SPARKLING RED,4,De Bortoli Sangria Spritz 750mL,de-bortoli-sangria-spritz-750ml-01.jpg,de-bortoli-sangria-spritz-750ml-02.jpg,21.99,14.7,317368,ALM top-8 in its segment,,
214,P3,Wine,WINE OTHER,4,De Bortoli Limoncllo Spr 750mL,de-bortoli-limoncllo-spr-750ml-01.jpg,de-bortoli-limoncllo-spr-750ml-02.jpg,21.99,14.7,776944,ALM top-8 in its segment,,
336,P4,Wine,SPARKLING RED,12,Morris Sparkling Shiraz Durif 750mL,morris-sparkling-shiraz-durif-750ml-01.jpg,morris-sparkling-shiraz-durif-750ml-02.jpg,21.99,14.89,549038,ALM top-12 in its segment,,
215,P3,Wine,STILL RED,4,Taylors Estate Shiraz 750mL,taylors-estate-shiraz-750ml-01.jpg,taylors-estate-shiraz-750ml-02.jpg,19.99,13.55,523862,ALM top-8 in its segment,,
260,P3,Wine,STILL RED,7,Taylors Estate Cabernet Sauvignon 750mL,taylors-estate-cabernet-sauvignon-750ml-01.jpg,taylors-estate-cabernet-sauvignon-750ml-02.jpg,19.99,13.55,523935,ALM top-8 in its segment,,
275,P3,Wine,SPARKLING RED,8,De Bortoli Chilbil Spzred 750mL,de-bortoli-chilbil-spzred-750ml-01.jpg,de-bortoli-chilbil-spzred-750ml-02.jpg,19.99,13.09,340586,ALM top-8 in its segment,,
288,P4,Wine,SPARKLING RED,9,De Bortoli Woodf Shiraz Cuv̩e 750mL,de-bortoli-woodf-shiraz-cuvee-750ml-01.jpg,de-bortoli-woodf-shiraz-cuvee-750ml-02.jpg,19.99,13.35,183057,ALM top-12 in its segment,,
337,P4,Wine,STILL ROSE,12,Days Of Ros̩ Dry Ros̩ 750mL,days-of-rose-dry-rose-750ml-01.jpg,days-of-rose-dry-rose-750ml-02.jpg,19.99,13.32,227194,ALM top-12 in its segment,,
365,P4,Wine,SPARKLING ROSE,14,Squealing Pig Spark Ros̩ 750mL,squealing-pig-spark-rose-750ml-01.jpg,squealing-pig-spark-rose-750ml-02.jpg,19.99,13.24,847805,ALM top-12 in its segment,,
373,P4,Wine,STILL ROSE,15,Taylors Estate Ros̩ 750mL,taylors-estate-rose-750ml-01.jpg,taylors-estate-rose-750ml-02.jpg,19.99,13.55,707563,ALM top-12 in its segment,,
319,P4,Wine,STILL WHITE,11,821 South Marl Sauvignon Blnc 750mL,821-south-marl-sauvignon-blnc-750ml-01.jpg,821-south-marl-sauvignon-blnc-750ml-02.jpg,18.99,12.41,609134,ALM top-12 in its segment,,
227,P3,Wine,STILL WHITE,5,Mud House Sauvignon Blanc 750mL,mud-house-sauvignon-blanc-750ml-01.jpg,mud-house-sauvignon-blanc-750ml-02.jpg,17.99,11.74,534017,ALM top-8 in its segment,,
261,P3,Wine,MOSCATO,7,Brown Brothers Moscato S/Blanc 750mL,brown-brothers-moscato-s-blanc-750ml-01.jpg,brown-brothers-moscato-s-blanc-750ml-02.jpg,17.99,11.69,580005,ALM top-8 in its segment,,
276,P3,Wine,MOSCATO,8,Tgallant Juliet Moscato 750mL,tgallant-juliet-moscato-750ml-01.jpg,tgallant-juliet-moscato-750ml-02.jpg,17.99,11.99,976683,ALM top-8 in its segment,,
289,P4,Wine,MOSCATO,9,Brown Brothers Moscato Sp 750mL,brown-brothers-moscato-sp-750ml-01.jpg,brown-brothers-moscato-sp-750ml-02.jpg,17.99,11.69,540903,ALM top-12 in its segment,,
305,P4,Wine,MOSCATO,10,Brown Brothers Moscato Ros̩ Sp 750mL,brown-brothers-moscato-rose-sp-750ml-01.jpg,brown-brothers-moscato-rose-sp-750ml-02.jpg,17.99,11.69,540908,ALM top-12 in its segment,,
338,P4,Wine,SPARKLING ROSE,12,Grant Burge Prosecco Ros̩ NV 750mL,grant-burge-prosecco-rose-nv-750ml-01.jpg,grant-burge-prosecco-rose-nv-750ml-02.jpg,17.99,11.96,444822,ALM top-12 in its segment,,
383,P4,Wine,STILL ROSE,17,Mud House Core Ros̩ 750mL,mud-house-core-rose-750ml-01.jpg,mud-house-core-rose-750ml-02.jpg,17.99,11.74,146940,ALM top-12 in its segment,,
228,P3,Wine,WINE OTHER,5,Divas Vkat 1L,divas-vkat-1l-01.jpg,divas-vkat-1l-02.jpg,16.99,11.41,862635,ALM top-8 in its segment,,
277,P3,Wine,STILL WHITE,8,Ta Ku Sauvignon Blanc 750mL,ta-ku-sauvignon-blanc-750ml-01.jpg,ta-ku-sauvignon-blanc-750ml-02.jpg,16.99,11.1,513537,ALM top-8 in its segment,,
320,P4,Wine,MOSCATO,11,Amberley Kiss&T Moscato 750mL,amberley-kiss-t-moscato-750ml-01.jpg,amberley-kiss-t-moscato-750ml-02.jpg,16.99,11.26,533309,ALM top-12 in its segment,,
278,P3,Wine,SPARKLING ROSE,8,Grant Burge Sparkling Petite Ros̩ 750mL,grant-burge-sparkling-petite-rose-750ml-01.jpg,grant-burge-sparkling-petite-rose-750ml-02.jpg,15.99,10.36,284497,ALM top-8 in its segment,,
279,P3,Wine,STILL RED,8,St Hallett Black Clay Shiraz 750mL,st-hallett-black-clay-shiraz-750ml-01.jpg,st-hallett-black-clay-shiraz-750ml-02.jpg,15.99,10.27,578553,ALM top-8 in its segment,,
