Title,Cost,Old price,New price,Change,New GP% (ex-GST)
Jim Barry McRae Shiraz,42.37,56.99,62.99,+6.00,26.0
Cape Mentelle Wallcliffe Cabernet Franc,42.33,56.99,62.99,+6.00,26.1
Villebois Sancerre Rouge,42.33,56.99,62.99,+6.00,26.1
Roland Tissier Sancerre,42.57,56.99,62.99,+6.00,25.7
Cape Mentelle Wallcliffe Sauvignon Blanc,42.33,56.99,62.99,+6.00,26.1
Laroche Petit Chablis 2023,41.95,55.99,61.99,+6.00,25.6
La Chablisienne Lapierele Chablis,41.86,55.99,61.99,+6.00,25.7
Greywacke Chardonnay - Marlborough New Zealand,41.74,55.99,61.99,+6.00,25.9
Shaw + Smith M3 Chardonnay,41.57,55.99,60.99,+5.00,25.0
Torbreck Struie,41.03,54.99,60.99,+6.00,26.0
Kilikanoon Mort's Reserve Riesling 2024,41.39,55.99,60.99,+5.00,25.4
Vasse Felix Cabernet Sauvignon,39.07,52.99,57.99,+5.00,25.9
Greywacke Wild Sauvignon,38.50,51.99,56.99,+5.00,25.7
Joseph Drouhin Laforet Bourgogne Chardonnay,38.39,51.99,56.99,+5.00,25.9
Joseph Drouhin Chablis,38.39,51.99,56.99,+5.00,25.9
Banfi DOCG Chianti Classico,36.66,48.99,53.99,+5.00,25.3
Joseph Drouhin Morgon,36.30,48.99,53.99,+5.00,26.0
Penfolds Bin 28 Shiraz,36.10,48.99,52.99,+4.00,25.1
Poggio dei Salici Chianti Classico DOCG,35.48,47.99,52.99,+5.00,26.3
Kilikanoon Covenant Shiraz,35.48,47.99,52.99,+5.00,26.3
Poggio Al Tesoro Solosole Vermentino Bolgheri DOC - Tuscany Italy,35.48,47.99,52.99,+5.00,26.3
Katnook Estate Merlot,34.91,46.99,51.99,+5.00,26.1
