Product,Our cost,Why it could not be written automatically,ALM candidate 1,ALM candidate 2,ALM candidate 3,Barcode (FILL from bottle or ALM portal)
The Glenlivet 12 Year Old Double Oak Single Malt Whisky,68.42,cost matched but name did not,GLENLIVET 12YR           700ML,,,
Torbreck Struie,41.03,matched 30809955 but no APN on file,TORBRECK STRUIE 750ML,,,
Veuve Clicquot La Grande Dame,311.14,matched 30815786 but no APN on file,VEUVE CLICQUOT LA GRANDE DAME GB 750ML,,,
Veuve Clicquot Rose Reserve,147.04,matched 30815778 but no APN on file,VEUVE CLICQUOT ROSE RESERVE GB 750ML,,,
Veuve Clicquot Yellow Label Brut NV,73.31,cost matched but name did not,PIAZZO BAROLO SOTTOCASTELLO DI NOVELLO DOCG 2019 750ML,KILIKANOON TREGEA CABERNET SAUVIGNON 2018 750ML,,
Vignoble Dauny AOC Sancerre Blanc Les Caillottes 2025,60.06,matched 31432557 but no APN on file,VIGNOBLE DAUNY AOC SANCERRE BLANC LES CAILLOTTES 2025 12% 750ML,,,
Vignoble Dauny Sancerre Rouge Pynoz 2024,65.73,matched 31432549 but no APN on file,VIGNOBLE DAUNY AOC SANCERRE ROUGE PYNOZ 2024 12% 750ML,,,
Villebois Sancerre Blanc Marne,62.44,matched 31497353 but no APN on file,VILLEBOIS SANCERRE BLANC MARNE 750ML,,,
Villebois Sancerre Rouge,42.33,matched 31497379 but no APN on file,VILLEBOIS SANCERRE ROUGE 750ML,,,
Wolf Blass Red Label Chardonnay Pinot Noir,5.42,cost matched but name did not,WILLOWGLEN CAB MERLOT    750ML,WILLOWGLEN CHARDONNAY    750ML,WILLOWGLEN MOSCATO       750ML,
Wynns Riddoch Cabernet Sauvignon,125.89,matched 83134 but no APN on file,WYNNS RIDDOCH CAB SAUV19 750ML,,,
Xanadu Reserve Cabernet Sauvignon,96.96,matched 31497604 but no APN on file,XANADU RESERVE CABERNET SAUV 750ML,,,
Xanadu Reserve Chardonnay,90.34,matched 31497612 but no APN on file,XANADU RESERVE CHARDONNAY 750ML,,,
Xanadu Stevens Road Cabernet Sauvignon,76.86,matched 31497620 but no APN on file,XANADU STEVENS RD CABERNET SAUV 750ML,,,
Xanadu Stevens Road Chardonnay,70.24,matched 31497638 but no APN on file,XANADU STEVENS RD CHARDONNAY 750ML,,,
Yellow Tail Bubbles Rose,6.68,cost matched but name did not,BAY OF STONES OP BRUT NV 750ML,,,
Yellowglen Pink,6.44,cost matched but name did not,BLEEDING HEART CAB SAUV  750ML,BLEEDING HEART CHARD     750ML,BLEEDING HEART SHIRAZ    750ML,
Yellowglen Yellow NV,6.44,cost matched but name did not,BLEEDING HEART CAB SAUV  750ML,BLEEDING HEART CHARD     750ML,BLEEDING HEART SHIRAZ    750ML,
