file,slot,label,mode,viewport,ratio,state,contrast,intrusion,survival,cropVisible,typeOccluded,scrimCovered,rawDistinguishable,postScrimDistinguishable,scrimLoss,focalStatus
hero-hand-bottle.png,hero,,glyph,desktop-1920,2.3392,warn,19.47,2.8,9.8,100,0,100,3.8,0,3.8,pass
hero-hand-bottle.png,hero,,glyph,laptop-1440,2.1053,warn,19.62,1.4,10.1,100,0,100,3.8,0,3.8,pass
hero-hand-bottle.png,hero,,glyph,small-1024,1.7544,warn,19.62,6.3,9.5,100,6,100,3.9,0,3.9,fail
hero-hand-bottle.png,hero,,glyph,tablet-768,0.9868,fail,18.17,13.7,7.8,100,94.8,100,3.5,0,3.5,fail
hero-hand-bottle.png,hero,,glyph,phone-390,0.7453,fail,18.44,18.6,7.3,100,76.3,100,4,0,4,fail
hero-liqueurs-trio.png,hero,,band,desktop-1920,2.3392,fail,15.09,66,10.9,,,,,,,
hero-liqueurs-trio.png,hero,,band,laptop-1440,2.1053,fail,14.96,67.1,10.3,,,,,,,
hero-liqueurs-trio.png,hero,,band,small-1024,1.7544,fail,15.2,66.2,8.9,,,,,,,
hero-liqueurs-trio.png,hero,,band,tablet-768,0.9868,fail,16.45,57.5,5.8,,,,,,,
hero-liqueurs-trio.png,hero,,band,phone-390,0.7453,fail,16.2,59.3,5.8,,,,,,,
hero-liqueurs-trio.png,hero,,glyph,desktop-1920,2.3392,warn,19.52,5.7,10.9,100,0,97.7,16.5,2.3,14.2,pass
hero-liqueurs-trio.png,hero,,glyph,laptop-1440,2.1053,warn,19.54,5.6,10.3,100,0,97.8,16.5,2.2,14.3,pass
hero-liqueurs-trio.png,hero,,glyph,small-1024,1.7544,warn,19.4,5.4,8.9,100,0,97.7,16.5,2.3,14.2,pass
hero-liqueurs-trio.png,hero,,glyph,tablet-768,0.9868,fail,17.44,37.7,5.8,96,0,93.4,14,2.7,11.3,pass
hero-liqueurs-trio.png,hero,,glyph,phone-390,0.7453,fail,18.57,30.9,5.8,17.2,0,16.7,13.9,2.6,11.3,fail
hero-rum-cane.png,hero,,band,desktop-1920,2.3392,fail,11.74,62.4,4.9,,,,,,,
hero-rum-cane.png,hero,,band,laptop-1440,2.1053,fail,12.01,60.7,4.9,,,,,,,
hero-rum-cane.png,hero,,band,small-1024,1.7544,fail,12.47,57.6,4.8,,,,,,,
hero-rum-cane.png,hero,,band,tablet-768,0.9868,fail,13.24,60.8,4.8,,,,,,,
hero-rum-cane.png,hero,,band,phone-390,0.7453,fail,13.83,65.2,4.8,,,,,,,
hero-rum-cane.png,hero,,glyph,desktop-1920,2.3392,fail,18.04,11.8,4.9,100,0,100,0.1,0,0.1,pass
hero-rum-cane.png,hero,,glyph,laptop-1440,2.1053,fail,18.22,12.1,4.9,100,0,100,0.1,0,0.1,pass
hero-rum-cane.png,hero,,glyph,small-1024,1.7544,fail,18.08,53.5,4.8,100,0,100,0.3,0,0.3,pass
hero-rum-cane.png,hero,,glyph,tablet-768,0.9868,fail,11.74,67.8,4.8,100,0,100,0.1,0,0.1,pass
hero-rum-cane.png,hero,,glyph,phone-390,0.7453,fail,12.13,69.3,4.8,26.6,0,26.6,0.4,0,0.4,fail
hero-store-interior.png,hero,,band,desktop-1920,2.3392,fail,12.06,50.2,18.3,,,,,,,
hero-store-interior.png,hero,,band,laptop-1440,2.1053,fail,12.1,49.8,18.3,,,,,,,
hero-store-interior.png,hero,,band,small-1024,1.7544,fail,12.23,48,18.8,,,,,,,
hero-store-interior.png,hero,,band,tablet-768,0.9868,fail,12.01,50.4,19.1,,,,,,,
hero-store-interior.png,hero,,band,phone-390,0.7453,fail,12.36,45.9,19.2,,,,,,,
hero-store-interior.png,hero,,glyph,desktop-1920,2.3392,fail,12.04,44.9,18.3,,,,,,,
hero-store-interior.png,hero,,glyph,laptop-1440,2.1053,fail,11.9,52.2,18.3,,,,,,,
hero-store-interior.png,hero,,glyph,small-1024,1.7544,fail,11.43,58.1,18.8,,,,,,,
hero-store-interior.png,hero,,glyph,tablet-768,0.9868,fail,12.27,49.2,19.1,,,,,,,
hero-store-interior.png,hero,,glyph,phone-390,0.7453,fail,12.27,53.8,19.2,,,,,,,
hero-tequila-pina.png,hero,,band,desktop-1920,2.3392,fail,10.98,59.8,10.3,,,,,,,
hero-tequila-pina.png,hero,,band,laptop-1440,2.1053,fail,11.26,58.7,9.6,,,,,,,
hero-tequila-pina.png,hero,,band,small-1024,1.7544,fail,11.83,54.6,9,,,,,,,
hero-tequila-pina.png,hero,,band,tablet-768,0.9868,fail,11.44,51.9,8.7,,,,,,,
hero-tequila-pina.png,hero,,band,phone-390,0.7453,fail,10.89,51.2,9.6,,,,,,,
hero-tequila-pina.png,hero,,glyph,desktop-1920,2.3392,warn,19.16,11.1,10.3,100,0,18.3,96.8,81.7,15.1,pass
hero-tequila-pina.png,hero,,glyph,laptop-1440,2.1053,warn,19.25,6,9.6,100,0,18.4,96.8,81.6,15.2,pass
hero-tequila-pina.png,hero,,glyph,small-1024,1.7544,fail,16.86,50.6,9,100,11,19.5,96.6,80.5,16,fail
hero-tequila-pina.png,hero,,glyph,tablet-768,0.9868,fail,9.8,61.8,8.7,100,98.1,19.2,95.8,80.8,15,fail
hero-tequila-pina.png,hero,,glyph,phone-390,0.7453,fail,9.99,61.2,9.6,100,82.8,19.4,96.1,80.6,15.5,fail
hero-vodka-ice.png,hero,,band,desktop-1920,2.3392,fail,8.19,81.7,11.5,,,,,,,
hero-vodka-ice.png,hero,,band,laptop-1440,2.1053,fail,8.33,80.7,11,,,,,,,
hero-vodka-ice.png,hero,,band,small-1024,1.7544,fail,8.7,77.9,10.1,,,,,,,
hero-vodka-ice.png,hero,,band,tablet-768,0.9868,fail,8.3,76.8,13.9,,,,,,,
hero-vodka-ice.png,hero,,band,phone-390,0.7453,fail,8.3,78.8,8.8,,,,,,,
hero-vodka-ice.png,hero,,glyph,desktop-1920,2.3392,warn,19.71,1.4,11.5,100,0,67.9,53.8,32.1,21.7,pass
hero-vodka-ice.png,hero,,glyph,laptop-1440,2.1053,warn,19.73,0.8,11,100,0,67.9,53.8,32.1,21.7,pass
hero-vodka-ice.png,hero,,glyph,small-1024,1.7544,warn,19.73,0.9,10.1,100,0,67.4,53.3,32.6,20.7,pass
hero-vodka-ice.png,hero,,glyph,tablet-768,0.9868,fail,8.17,85.8,13.9,100,2.5,67.7,52.9,32.3,20.7,pass
hero-vodka-ice.png,hero,,glyph,phone-390,0.7453,fail,9.31,83.2,8.8,68.4,0,44.2,60.5,35.4,25,fail
hero-whisky-cask.png,hero,,band,desktop-1920,2.3392,fail,14.25,58.3,11.1,,,,,,,
hero-whisky-cask.png,hero,,band,laptop-1440,2.1053,fail,14.05,54.7,11.2,,,,,,,
hero-whisky-cask.png,hero,,band,small-1024,1.7544,fail,14.27,47.5,11.6,,,,,,,
hero-whisky-cask.png,hero,,band,tablet-768,0.9868,fail,14.86,52.7,12.4,,,,,,,
hero-whisky-cask.png,hero,,band,phone-390,0.7453,fail,15.11,56.7,11.7,,,,,,,
hero-whisky-cask.png,hero,,glyph,desktop-1920,2.3392,warn,18.98,10.6,11.1,100,0,89.3,22.5,10.7,11.8,pass
hero-whisky-cask.png,hero,,glyph,laptop-1440,2.1053,warn,19.38,6.8,11.2,100,0,89.3,22.5,10.7,11.8,pass
hero-whisky-cask.png,hero,,glyph,small-1024,1.7544,warn,19.39,9.6,11.6,100,0,89.2,22.2,10.8,11.4,pass
hero-whisky-cask.png,hero,,glyph,tablet-768,0.9868,fail,16.44,41.7,12.4,100,78.4,89.7,21.6,10.3,11.4,fail
hero-whisky-cask.png,hero,,glyph,phone-390,0.7453,fail,17.03,39.5,11.7,100,75.4,89.9,20.6,10.1,10.5,fail
hero-whisky-shelf-a.png,hero,,band,desktop-1920,2.3392,fail,14.58,49,6.1,,,,,,,
hero-whisky-shelf-a.png,hero,,band,laptop-1440,2.1053,fail,14.37,50.3,6.1,,,,,,,
hero-whisky-shelf-a.png,hero,,band,small-1024,1.7544,fail,14.53,49.7,6.2,,,,,,,
hero-whisky-shelf-a.png,hero,,band,tablet-768,0.9868,fail,14.71,50.1,6.6,,,,,,,
hero-whisky-shelf-a.png,hero,,band,phone-390,0.7453,fail,15.04,44.6,7.2,,,,,,,
hero-whisky-shelf-a.png,hero,,glyph,desktop-1920,2.3392,fail,19.59,2,6.1,100,0,92.9,12.1,7.1,5,pass
hero-whisky-shelf-a.png,hero,,glyph,laptop-1440,2.1053,fail,19.51,2.3,6.1,100,0,92.9,12.1,7.1,5,pass
hero-whisky-shelf-a.png,hero,,glyph,small-1024,1.7544,fail,19.51,3.2,6.2,100,0,92.7,12,7.3,4.8,pass
hero-whisky-shelf-a.png,hero,,glyph,tablet-768,0.9868,fail,17.21,35.3,6.6,60.6,0,54.8,11.9,9.7,2.2,fail
hero-whisky-shelf-a.png,hero,,glyph,phone-390,0.7453,fail,17.9,35.7,7.2,0,0,0,0,0,0,fail
